scheduleid,resourceid,operationid,shiftstart,shiftid,costtravel,costlabor,cost_regular,cost_regular_night,cost_regular_sunday,cost_regular_sunday_night,cost_overtime,cost_overtime_night,cost_overtime_sunday_night
1,000-46-4028,1,2013-10-05,1,1000,250.96,250.96,0,0,0,0,0,800
1,000-46-4028,1,2013-10-06,2,1000,313.68,0,0,313.68,0,0,0,0
1,000-46-4028,1,2013-10-07,3,1000,276,0,276,0,0,0,0,0
1,000-46-4028,1,2013-10-08,2,1000,250.96,250.96,0,0,0,0,0,0
1,001-22-6835,1,2013-10-05,1,2000,368.16,368.16,0,0,0,0,0,0
1,001-22-6835,1,2013-10-06,2,2000,460.16,0,0,460.16,0,0,0,0
1,001-22-6835,1,2013-10-07,3,2000,404.96,0,404.96,0,0,0,0,0
1,001-22-6835,1,2013-10-08,2,2000,368.16,368.16,0,0,0,0,0,0
1,011-15-7273,1,2013-10-05,1,3000,320.08,320.08,0,0,0,0,0,0
1,011-15-7273,1,2013-10-06,2,3000,400.08,0,0,400.08,0,0,0,0
1,011-15-7273,1,2013-10-07,3,3000,352.08,0,352.08,0,0,0,0,0
1,011-15-7273,1,2013-10-08,2,3000,320.08,320.08,0,0,0,0,0,0
1,116-91-3511,1,2013-10-05,1,2500,303.28,303.28,0,0,0,0,0,0
1,116-91-3511,1,2013-10-06,2,2500,379.12,0,0,379.12,0,0,0,0
1,116-91-3511,1,2013-10-07,3,2500,333.6,0,333.6,0,0,0,0,0
1,116-91-3511,1,2013-10-08,2,2500,303.28,303.28,0,0,0,0,0,0
1,571-45-5903,1,2013-10-05,1,1700,263.68,263.68,0,0,0,0,0,0
1,571-45-5903,1,2013-10-06,2,1700,329.6,0,0,329.6,0,0,0,0
1,571-45-5903,1,2013-10-07,3,1700,290.08,0,290.08,0,0,0,0,0
1,571-45-5903,1,2013-10-08,2,1700,263.68,263.68,0,0,0,0,0,0
1,492-86-1421,1,2013-10-05,1,1250,212.64,212.64,0,0,0,0,0,0
1,492-86-1421,1,2013-10-06,2,1250,265.84,0,0,265.84,0,0,0,0
1,492-86-1421,1,2013-10-07,3,1250,233.92,0,233.92,0,0,0,0,0
1,492-86-1421,1,2013-10-08,2,1250,212.64,212.64,0,0,0,0,0,0
1,074-18-1763,1,2013-10-05,1,1100,353.04,353.04,0,0,0,0,0,0
1,074-18-1763,1,2013-10-06,2,1100,441.28,0,0,441.28,0,0,0,0
1,074-18-1763,1,2013-10-07,3,1100,388.32,0,388.32,0,0,0,0,0
1,074-18-1763,1,2013-10-08,2,1100,353.04,353.04,0,0,0,0,0,0
1,170-75-2303,1,2013-10-05,1,1150,317.92,317.92,0,0,0,0,0,0
1,170-75-2303,1,2013-10-06,2,1150,397.44,0,0,397.44,0,0,0,0
1,170-75-2303,1,2013-10-07,3,1150,349.68,0,349.68,0,0,0,0,0
1,170-75-2303,1,2013-10-08,2,1150,317.92,317.92,0,0,0,0,0,0
1,581-49-7054,3,2013-10-05,2,650,353.04,353.04,0,0,0,0,0,0
1,581-49-7054,3,2013-10-06,2,650,441.28,0,0,441.28,0,0,0,0
1,581-49-7054,3,2013-10-07,2,650,353.04,353.04,0,0,0,0,0,0
1,581-49-7054,3,2013-10-08,2,650,353.04,353.04,0,0,0,0,0,0
1,757-89-4952,3,2013-10-05,1,350,238.96,238.96,0,0,0,0,0,0
1,757-89-4952,3,2013-10-06,1,350,298.72,0,0,298.72,0,0,0,0
1,757-89-4952,3,2013-10-07,1,350,238.96,238.96,0,0,0,0,0,0
1,757-89-4952,3,2013-10-08,1,350,238.96,238.96,0,0,0,0,0,0
1,833-80-7413,3,2013-10-05,3,1200,360.24,0,360.24,0,0,0,0,0
1,833-80-7413,3,2013-10-06,3,1200,442.08,0,0,0,442.08,0,0,0
1,833-80-7413,3,2013-10-07,3,1200,360.24,0,360.24,0,0,0,0,0
1,833-80-7413,3,2013-10-08,3,1200,360.24,0,360.24,0,0,0,0,0
1,426-90-7400,3,2013-10-05,2,700,238.16,238.16,0,0,0,0,0,0
