scheduleid,resourceid,operationid,shiftstart,shiftid,costtravel,costlabor,cost_regular,cost_regular_night, cost_regular_sunday,cost_regular_sunday_night,cost_overtime,cost_overtime_night,cost_overtime_sunday_night 
2,961-23-0101,8,2013-05-07,3,450,402.4,0,402.4,0,0,0,0,400
2,961-77-2763,8,2013-05-07,3,450,422,0,422,0,0,0,0,0
2,963-37-3391,8,2013-05-07,3,450,304.08,0,304.08,0,0,0,0,0
2,973-14-1909,8,2013-05-07,3,450,374.32,0,374.32,0,0,0,0,0
2,978-20-7052,8,2013-05-07,3,450,233.92,0,233.92,0,0,0,0,0
2,990-57-4926,8,2013-05-07,1,450,337.04,337.04,0,0,0,0,0,0
2,994-69-9874,8,2013-05-07,1,450,303.28,303.28,0,0,0,0,0,0
2,997-24-0117,8,2013-05-07,1,450,314.72,314.72,0,0,0,0,0,0
2,019-46-9060,8,2013-05-07,1,520,455.76,455.76,0,0,0,0,0,0
2,037-77-6569,8,2013-05-07,1,520,320.08,320.08,0,0,0,0,0,0
2,044-77-7854,8,2013-05-07,1,520,327.52,327.52,0,0,0,0,0,0
2,060-24-3838,8,2013-05-07,1,520,263.68,263.68,0,0,0,0,0,0
2,074-47-9843,8,2013-05-07,2,520,314.72,314.72,0,0,0,0,0,0
2,084-09-6813,8,2013-05-07,2,520,332.64,332.64,0,0,0,0,0,0
2,084-42-4083,8,2013-05-07,2,520,333.6,333.6,0,0,0,0,0,0
2,096-41-9340,8,2013-05-07,2,520,365.76,365.76,0,0,0,0,0,0
2,105-37-7848,8,2013-05-07,2,520,225.44,225.44,0,0,0,0,0,0
2,107-24-6845,8,2013-05-07,2,520,289.2,289.2,0,0,0,0,0,0
