resourceid,resourcename,resourceorganization,resourcetypeabbr,scheduledays,resourcetitle,ratecategory,step,rate_regular,rate_regular_night,rate_regular_sunday,rate_regular_sunday_night, rate_overtime, rate_overtime_night, rate_overtime_sunday_night
000-46-4028,"Rawls, Brent ES OFC",1,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
001-22-6835,"Dusik, Mason ES SGT/T",1,PSS,Mon - Fri,Sergeant/Tech,LE-4T,8,46.02,50.62,57.52,62.12,69.02,73.62,85.13
011-15-7273,"Clark, Denise ES OFC/T",1,PSS,Sat - Wed,Officer/Tech,LE-1T,8,40.01,44.01,50.01,54.01,60.02,64.02,74.02
013-98-8254,"Bartlett, Cary ES OFC",1,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
023-05-7517,"Allen, Marilyn ES LT",1,PHYS SEC LEAD,Mon - Fri,Lieutenant,LE-5,13,57.82,63.6,72.28,78.06,86.73,92.51,106.97
023-76-9212,"Thornton, Jim ES OFC",1,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
028-37-8878,"Huba, Marlon ES OFC/T",1,PSS,Mon - Fri,Officer/Tech,LE-1T,2,29.87,32.86,37.34,40.32,44.81,47.79,55.26
028-39-0219,"Wood, Kevin ES OFC",1,Lead Advance,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
034-48-7080,"Ward, Janice ES OFC",1,PSS,Mon - Fri,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
035-90-8573,"Amsbaugh, Leonard ES OFC",1,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
042-11-4760,"Piechocki, Laura ES SGT",1,PSS,Sat - Wed,Sergeant,LE-4,9,45.25,49.77,56.56,61.08,67.87,72.39,83.71
045-38-1058,"Sorum, Otis ES OFC",1,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
046-24-2670,"Niemi, Jimmie ES LT",1,Lead Advance,Mon - Fri,Lieutenant,LE-5,8,47.75,52.52,59.68,64.46,71.62,76.39,88.33
046-34-0831,"Strupp, Royce ES OFC",1,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
052-00-3743,"Baranski, Annie ES SGT",1,PSS,Wed - Sun,Sergeant,LE-4,7,41.58,45.73,51.97,56.13,62.37,66.52,76.92
061-81-0590,"Blankenship, Devon ES OFC/T",1,PSS,Mon - Fri,Officer/Tech,LE-1T,4,33.25,36.58,41.56,44.89,49.88,53.2,61.51
064-53-7715,"Knuth, Joe ES OFC",1,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
078-74-9100,"Herlocker, Donovan ES SGT",1,PSS,Mon - Fri,Sergeant,LE-4,6,39.74,43.71,49.68,53.65,59.61,63.58,73.52
088-35-2626,"Frazier, Antonio ES OFC",1,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
088-98-3578,"Schuchard, Laura ES OFC",1,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
091-96-5318,"Snow, Randolph ES OFC/T",1,PSS,Wed - Sun,Officer/Tech,LE-1T,9,41.7,45.87,52.13,56.3,62.55,66.72,77.15
101-09-0755,"Hiltbrand, Terence ES CPT",1,PSS,Mon - Fri,Captain,LE-7,12,61.41,67.55,76.76,82.9,61.41,67.55,82.9
101-16-2067,"Pearson, Doris ES OFC",1,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
102-39-4888,"Huppe, Shannon ES OFC/T",1,PSS,Mon - Fri,Officer/Tech,LE-1T,13,48.47,53.32,60.59,65.43,72.71,77.55,89.67
104-16-0312,"Cummings, Don ES OFC",1,Lead Advance,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
115-15-3513,"Ripp, Judy ES OFC",1,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
120-03-6862,"Daniels, Diane ES OFC",1,PSS,Sat - Wed,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
122-17-6777,"Cleere, Wilbur ES OFC",1,PSS,Wed - Sun,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
123-20-8447,"Clark, Thomas ES OFC",1,PSS,Sat - Wed,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
126-42-0028,"Nifong, Angel ES OFC",1,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
126-57-5404,"Strong, Santiago ES OFC",1,PHYS SEC LEAD,Wed - Sun,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
128-58-1333,"Cofone, Alfonso ES OFC",1,PSS,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
130-52-5928,"Brandle, Williams ES OFC",1,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
140-43-3971,"Shaffer, Cordell ES OFC",1,PSS,Mon - Fri,Officer,LE-1,13,45.72,50.3,57.15,61.72,68.59,73.16,84.59
141-61-5758,"Groat, Clifford ES OFC",1,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
142-04-3973,"Stanford, Jose ES SGT/T",1,PSS,Sat - Wed,Sergeant/Tech,LE-4T,6,42.13,46.34,52.66,56.88,63.2,67.41,77.94
147-84-4327,"Gilmore, Ike ES OFC/T",1,PSS,Mon - Fri,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
150-81-6349,"Phillips, Stephen ES OFC/T",1,PSS,Mon - Fri,Officer/Tech,LE-1T,8,40.01,44.01,50.01,54.01,60.02,64.02,74.02
152-57-2154,"Hayes, Peter ES OFC",1,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
152-96-1953,"Basemore, Rhonda ES OFC",1,PHYS SEC LEAD,Wed - Sun,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
160-02-8408,"Bravata, Elmer ES OFC/T",1,PSS,Wed - Sun,Officer/Tech,LE-1T,5,34.94,38.43,43.68,47.17,52.41,55.9,64.64
163-88-1935,"Aeschliman, Laurence ES OFC",1,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
165-46-9733,"Sutton, Russell ES OFC",1,Lead Advance,Wed - Sun,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
165-79-3149,"Covington, Mitch ES OFC",1,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
166-44-3771,"Lukacs, Roman ES OFC",1,PSS,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
169-12-4556,"Friedli, Lawrence ES OFC",1,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
177-00-4539,"Ridling, Wallace ES OFC",1,PSS,Sat - Wed,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
181-30-3998,"Norbury, Clifford ES OFC",1,PSS,Wed - Sun,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
187-01-2230,"Kovaleski, Dane ES OFC",1,PSS,Wed - Sun,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
187-67-9312,"Cereo, Deborah ES OFC",1,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
192-75-3251,"Donahue, Milford ES OFC",1,PSS,Mon - Fri,Officer,LE-1,1,26.58,29.24,33.23,35.88,39.87,42.53,49.17
198-82-7118,"Lagasse, Emmanuel ES OFC",1,PSS,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
207-25-0919,"Wall, Johnathan ES OFC",1,PSS,Mon - Fri,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
208-54-1454,"Flakne, Freddie ES LT",1,PSS,Mon - Fri,Lieutenant,LE-5,6,43.72,48.09,54.65,59.02,65.58,69.95,80.88
211-55-7845,"Murray, Ted ES OFC",1,PSS,Mon - Fri,Officer,LE-1,7,36.15,39.77,45.19,48.8,54.23,57.85,66.88
214-40-7782,"Sprankle, Evelyn ES OFC",1,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
214-49-5687,"Clopper, Erin ES OFC",1,PSS,Sat - Wed,Officer,LE-1,8,37.75,41.52,47.18,50.96,56.62,60.39,69.83
215-75-4239,"Wyker, Elbert ES OFC",1,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
222-14-5247,"Freeman, Daniel ES OFC",1,PSS,Mon - Fri,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
227-29-2564,"Daryanl, Shannon ES OFC",1,PSS,Mon - Fri,Officer,LE-1,6,34.56,38.01,43.2,46.65,51.84,55.3,63.93
230-17-2644,"Lang, Wilbur ES OFC/T",1,PSS,Sat - Wed,Officer/Tech,LE-1T,13,48.47,53.32,60.59,65.43,72.71,77.55,89.67
230-48-0617,"Henderson, Andrea ES OFC",1,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
232-64-9847,"Mclaughlin, Rolando ES OFC",1,PSS,Sat - Wed,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
237-10-5769,"Leonard, Carl ES OFC",1,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
237-46-2837,"Cuadra, Jamel ES SGT",1,PSS,Mon - Fri,Sergeant,LE-4,12,50.75,55.83,63.44,68.51,76.13,81.2,93.89
238-21-1544,"Leusink, Connie ES OFC",1,PHYS SEC LEAD,Mon - Fri,Officer,LE-1,12,44.13,48.54,55.16,59.57,66.19,70.6,81.63
247-83-5762,"Kollman, Jasper ES OFC",1,PSS,Sat - Wed,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
250-82-3253,"Hull, Hobert ES OFC",1,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
252-97-2518,"Howell, Ruth ES OFC",1,PSS,Mon - Fri,Officer,LE-1,9,39.34,43.28,49.18,53.11,59.01,62.94,72.78
254-36-0076,"Orlowsky, Jean ES OFC",1,PSS,Mon - Fri,Officer,LE-1,4,31.37,34.5,39.21,42.35,47.05,50.19,58.03
254-47-2240,"Dufrain, Christian ES OFC",1,PSS,Mon - Fri,Officer,LE-1,5,32.96,36.26,41.2,44.5,49.44,52.74,60.98
258-28-0085,"Mcdowell, Gilberto ES OFC",1,RADIO,Mon - Fri,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
262-21-8473,"Straker, Nickolas ES OFC",1,PSS,Sat - Wed,Officer,LE-1,10,40.94,45.03,51.17,55.26,61.41,65.5,75.74
273-49-7751,"Polasek, Judith ES OFC",1,PSS,Mon - Fri,Officer,LE-1,3,29.77,32.75,37.22,40.19,44.66,47.64,55.08
274-46-7817,"Levy, Nickolas ES OFC",1,PSS,Wed - Sun,Officer,LE-1,2,28.18,30.99,35.22,38.04,42.47,45.29,52.33
275-18-3904,"Goudelock, Jan ES OFC",1,PSS,Wed - Sun,Officer,LE-1,11,42.53,46.79,53.16,57.42,63.8,68.05,78.69
277-60-9771,"Jackson, Steve ES OFC/T",1,PSS,Sat - Wed,Officer/Tech,LE-1T,12,46.78,51.46,58.48,63.15,70.17,74.85,86.54
